UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
1654742286,-5.21,50.99,356,400,13071,19909,939.25,0.44,0.46,3.06,0.477,0.011,8955
1654753613,13.585,53.66,1201,400,12945,19430,938.723,1.57,1.63,10.79,1.682,0.038,20282
1654756421,-21.999,53.73,1366,408,12967,19383,938.716,2.13,2.21,14.63,2.281,0.052,23090
1654746578,20.533,52.64,1109,529,12838,19449,938.894,1.97,2.05,13.55,2.113,0.048,13247
1655126371,-5.22,48.24,129,400,12802,20590,937.357,2.01,2.09,13.83,2.156,0.049,2063
1654777999,25.09,50.74,1235,420,12878,19423,938.76,2.25,2.34,15.47,2.413,0.054,16656
1654735398,21.96,51.04,7,400,13163,20043,939.638,0.7,0.73,4.82,0.751,0.017,2067
1654736929,4.182,58.15,338,400,13094,19872,939.641,1.53,1.59,10.55,1.646,0.037,3598
1654745248,16.027,50.88,1128,617,12810,19443,939.015,2.25,2.34,15.5,2.417,0.055,11917
1655126667,-1.011,48.67,166,428,12768,20558,937.341,2.03,2.11,13.95,2.175,0.049,2359
1655124810,20.854,46.51,76,400,12830,20701,937.525,1.84,1.92,12.7,1.98,0.045,502
1654785450,24.54,52.51,1222,400,13024,19424,938.762,2.59,2.69,17.8,2.776,0.063,24107
